index,title,source,meeting_occurred,issues_discussed,num_issues,questions_answered,external_commentary
0,"APEC summit to close in South Korea after Trump, Xi agreed on trade truce",Winnipeg Free Press,True,"north korea, trade",2,False,True
1,China's Xi in the spotlight at Pacific summit while Trump is conspicuous by his absence,ExBulletin,True,"north korea, technology, trade, taiwan",4,False,True
2,"APEC summit to close in South Korea after Trump, Xi agreed on trade truce - WTOP News",WTOP,True,"north korea, ip rights, trade",3,False,True
3,@ the Bell: Tariffs and treats -- Trump and Xi call a truce as the market chills,stockhouse,True,None,0,False,False
4,"Trump may have skipped APEC, but Xi is using it to sell China as the last defender of globalization",ExBulletin,False,None,0,False,False
5,APEC Summit: Trump's Truce with Xi Steals the Limelight | Business,Devdiscourse,False,"north korea, trade",2,False,False
6,"Trump and Xi pause trade war, not rivalry - The Tribune",The Tribune,True,"trade, taiwan, north korea, south china sea, technology",5,False,True
7,Analysis: China's Xi has the advantage after his trade meeting with Trump,ExBulletin,False,None,0,False,True
8,VIDEO: Trump dan Xi Jinping Sepakat Akhiri Ketegangan Dagang!,CNNindonesia,False,None,0,False,False
9,"APEC summit to close in South Korea after Trump, Xi agreed on trade...",Daily Mail Online,True,"north korea, trade",2,False,True
10,Nvidia Uncertain if Return to China Is Closer After Trump-Xi Meeting,The New York Times,True,technology,1,False,True
11,White House releases relaxed images from Xi-Trump summit in Busan,Dimsum Daily,True,None,0,False,True
12,Trump not discussing Russia oil sanctions with Xi signals priorities shift -- Media,Pravda EN,False,None,0,False,True
13,White House official: Trump spoke with Xi Jinping about Jimmy Lai's release,Catholic News Agency,False,None,0,False,True
14,Trump-Xi meeting: Shaping future of US-China ties - Pakistan Observer,Pakistan Observer,True,"trade, hong kong",2,False,True
15,Trump-Xi talks didn't change Beijing's priority: flagging economy | Today Headline,Inside The Star-Studded World,True,"ip rights, technology, trade",3,False,True
16,"Trump, Xi consider deal to ease US-China trade war, but tensions remain",ExBulletin,True,None,0,False,True
17,"As Trump skips APEC, China's Xi fills the void with message on trade",The Straits Times,True,trade,1,False,True
18,HONG KONG - CHINA Human rights and freedom missing from the Trump-Xi summit,Asia News.it,True,"trade, hong kong",2,True,False
19,Chinese Exporters Bet That Xi-Trump Tariff Truce Won't Last,news.bloomberglaw.com,False,None,0,False,False
